,MMSI,type,length,beam,range,bearing,timestamp,lat,long,"lat, ","lon,",,
AIS,995746986,156,0,0,64842,2.57109,61584189,0.352818,1.86951,20.21498234,107.1150328,,736790
AIS,373481000,70,229,32,39926,0.841883,61584862,0.36556,1.86866,20.94504516,107.0663313,,
AIS,995741998,156,0,0,10563.7,2.03563,61584941,0.360646,1.86524,20.6634937,106.8703798,,
AIS,574003420,80,97,16,19945.9,2.75531,61584994,0.358489,1.86491,20.5399067,106.8514722,,
AIS,574000000,52,28,13,24841.9,5.62732,61585051,0.364479,1.86111,20.88310842,106.6337482,,
AIS,5741001,0,0,0,15807.7,5.8618,61585086,0.363654,1.86257,20.8358394,106.7174,,
AIS,574014611,70,109,20,27403.3,6.15787,61585088,0.365657,1.86308,20.95060285,106.7466209,,
AIS,574005940,70,172,28,21562.4,2.657,61585235,0.358395,1.86534,20.5345209,106.8761094,,
AIS,353368000,74,267,35,20338.1,2.00078,61585371,0.360057,1.86675,20.62974648,106.9568964,,
AIS,574012768,70,79,13,60602.4,3.36589,61585754,0.352115,1.8614,20.1747034,106.650364,,
AIS,574014565,70,79,14,57196.4,3.91797,61585757,0.354977,1.85694,20.33868392,106.3948248,,
AIS,574012575,75,95,14,14787.6,0.599674,61585983,0.363306,1.86505,20.81590047,106.8594936,,
AIS,563158400,70,147,23,19989.9,1.67428,61586114,0.361064,1.86699,20.68744333,106.9706474,,
AIS,574565012,30,26,6,36411.8,1.71683,61586210,0.360552,1.8697,20.6581079,107.125919,,
AIS,574014575,7,37,10,16988.6,0.87838,61586428,0.363091,1.86585,20.80358188,106.9053302,,
AIS,574003940,52,41,10,45616.7,3.27582,61586432,0.354294,1.86263,20.29955091,106.7208378,,
AIS,574013126,70,64,11,20530.4,5.85107,61586433,0.364316,1.86221,20.87376921,106.6967736,,
AIS,754128076,0,0,0,17203.5,6.0311,61586676,0.364005,1.86293,20.85595022,106.7380265,,
AIS,274123908,0,0,0,3261.67,0.830211,61587274,0.361735,1.86406,20.7258888,106.8027708,,
AIS,375637000,52,23,12,24749.1,5.63285,61587288,0.36448,1.86113,20.88316572,106.6348941,,
AIS,440301000,70,148,24,21323.5,1.6328,61587477,0.36118,1.86722,20.69408964,106.9838254,,
AIS,574401782,70,66,11,18586,0.751921,61587692,0.36352,1.86578,20.82816177,106.9013195,,
AIS,995741820,141,2,2,13721,0.538082,61587786,0.363239,1.86483,20.81206165,106.8468885,,
AIS,574013507,70,79,12,57191.1,3.91728,61587825,0.354973,1.85695,20.33845474,106.3953978,,
AIS,995746916,142,2,1,15939.3,6.20353,61587953,0.363884,1.86344,20.84901743,106.7672474,,
AIS,574708999,52,25,13,24795,5.63214,61588302,0.364485,1.86113,20.8834522,106.6348941,,
AIS,574003420,80,97,16,19949.4,2.75538,61588329,0.358489,1.86491,20.5399067,106.8514722,,
AIS,995741880,147,5,5,16125.8,1.08146,61588536,0.362579,1.86604,20.77424644,106.9162164,,
AIS,563158400,70,147,23,20009.3,1.67363,61588729,0.361066,1.86699,20.68755793,106.9706474,,
AIS,574002860,70,75,12,19872.9,1.73921,61588781,0.360865,1.86694,20.67604147,106.9677826,,
AIS,995741829,142,2,2,15367.5,0.63181,61588909,0.363336,1.86518,20.81761935,106.866942,,
AIS,574401641,0,0,0,27382.4,5.65478,61589157,0.364866,1.86095,20.90528189,106.6245809,,
AIS,477548900,71,172,28,13949.7,0.0770177,61589421,0.363573,1.86383,20.83119844,106.7895927,,
AIS,574128295,35,47,8,16020.3,6.13642,61589609,0.363877,1.86326,20.84861636,106.7569341,,
AIS,574013714,70,71,11,18378.6,0.510174,61589770,0.363907,1.86516,20.85033524,106.8657961,,
AIS,574912288,0,0,0,34394.3,5.53826,61589877,0.365356,1.85973,20.93335682,106.55468,,
AIS,574012702,0,0,0,7.74E+06,6.26526,61589944,1.58825,3.15905,91.00002181,181.0002323,,
AIS,574015007,70,71,12,17415.4,1.01737,61590070,0.362826,1.86614,20.7883985,106.921946,,
AIS,574560164,30,26,6,14704.8,2.3078,61590473,0.359838,1.86548,20.61719871,106.8841308,,
AIS,574014686,70,77,12,26415.6,5.59653,61590618,0.364595,1.86084,20.88975473,106.6182783,,
AIS,574395000,80,0,0,12554.3,2.35034,61590807,0.360004,1.86515,20.62670981,106.8652232,,
AIS,995741872,147,5,5,17855.3,1.40553,61590985,0.361849,1.86661,20.73242052,106.948875,,
AIS,574013527,70,79,12,23072.5,5.7096,61591011,0.364431,1.86155,20.88035822,106.6589584,,
AIS,574012424,0,0,0,23008.4,2.19345,61591064,0.359282,1.86679,20.58534226,106.9591882,,
AIS,574197836,0,0,0,30066.1,2.34534,61591129,0.358087,1.86725,20.5168738,106.9855443,,
AIS,574003420,80,97,16,19950.4,2.75552,61591368,0.358489,1.86491,20.5399067,106.8514722,,
AIS,440301000,70,148,24,21335.1,1.63192,61591446,0.361183,1.86723,20.69426153,106.9843984,,
AIS,574003260,0,29,11,16969,0.927846,61591508,0.362986,1.86593,20.79756582,106.9099139,,
AIS,574014116,80,83,14,29186.6,2.75881,61591562,0.35714,1.86548,20.4626147,106.8841308,,
AIS,511101478,89,135,21,19230.8,5.94722,61591608,0.364239,1.86259,20.86935743,106.718546,,
AIS,352003194,0,0,0,14317.1,0.0448863,61591756,0.363635,1.86376,20.83475078,106.785582,,
AIS,574491000,70,112,18,25893,2.24594,61591792,0.358848,1.86704,20.56047589,106.9735122,,
