,ID radar,range,bearbing,timestamp,h?p nh?t,length,lat ,lon,lat_new,lon_new,,,,,,
Radar,1000,0,0,28800000,1,0,20.7061,106.7795,20.7061,106.7795,,,,,,
Radar,1000,2004.99,1.1455,61620904,1,65,,,20.71353119,106.7970395,,,,,,
Radar,1000,2004.99,1.14639,61629224,1,67,,,20.71351659,106.7970466,,,,,,
Radar,1000,2004.99,1.14689,61639223,1,97,,,20.71350838,106.7970505,,,,,,
Radar,1000,2004.99,1.14705,61649220,1,92,,,20.71350575,106.7970518,,,,,,
Radar,1000,2004.98,1.14823,61659221,1,105,,,20.71348634,106.797061,,,,,,
Radar,1000,2004.98,1.14776,61669225,1,57,,,20.71349406,106.7970573,,,,,,
Radar,1000,2004.98,1.14836,61679239,1,40,,,20.7134842,106.7970621,,,,,,
Radar,1000,2004.98,1.14828,61689236,1,95,,,20.71348552,106.7970614,,,,,,
Radar,1000,2004.98,1.14733,61699244,1,92,,,20.71350112,106.7970539,,,,,,
Radar,1000,2002.8,1.14582,61709226,1,150,,,20.71351783,106.7970229,,,,,,
Radar,1000,2001.86,1.14472,61719257,0,0,,,20.71353237,106.7970059,,,,,,
Radar,1000,2001.12,1.14366,61729262,0,0,,,20.71354697,106.796991,,,,,,
Radar,1000,2000.38,1.1426,61739261,0,0,,,20.71356154,106.7969761,,,,,,
Radar,1000,1999.64,1.14153,61749261,0,0,,,20.71357626,106.7969611,,,,,,
Radar,1001,0,0,28800000,1,0,,,20.7061,106.7795,,,,,,
Radar,1001,16272.4,1.15394,61620904,1,95,,,20.76528523,106.9223888,,,,,,
Radar,1001,16217.9,1.14172,61629234,1,72,,,20.7667104,106.9211291,,,,,,
Radar,1001,16229.1,1.14646,61639222,1,2,,,20.76612319,106.9215326,,,,,,
Radar,1001,16240.8,1.15019,61649251,0,0,,,20.76567012,106.9218735,,,,,,
Radar,1001,16243.9,1.15129,61659250,0,0,,,20.76553494,106.9219707,,,,,,
Radar,1001,16247.1,1.1524,61669255,0,0,,,20.76539865,106.9220692,,,,,,
Radar,1001,16242.3,1.14519,61679257,1,20,,,20.76634083,106.9215665,,,,,,
Radar,1001,16236.1,1.14358,61689220,1,17,,,20.76653162,106.9214084,,,,,,
Radar,1001,16243.9,1.14669,61699235,1,17,,,20.76614734,106.9216769,,,,,,
Radar,1001,16244.2,1.14817,61709231,0,0,,,20.76595155,106.9217744,,,,,,
Radar,1001,16260.8,1.15379,61719243,1,45,,,20.76526307,106.9222775,,,,,,
Radar,1001,16216.8,1.15951,61729262,1,40,,,20.76434015,106.9222496,,,,,,
Radar,1001,16189.4,1.16275,61739281,0,0,,,20.76380954,106.9222091,,,,,,
Radar,1001,16221.6,1.16193,61749277,1,25,,,20.76403398,106.9224422,,,,,,
Radar,1001,16226,1.1633,61759261,0,0,,,20.76386641,106.9225657,,,,,,
Radar,1001,16234.8,1.16346,61769273,1,95,,,20.76387632,106.9226532,,,,,,
Radar,1001,16263.1,1.15933,61779279,1,57,,,20.76453053,106.9226459,,,,,,
Radar,1001,16281.8,1.15816,61789274,0,0,,,20.76475452,106.9227373,,,,,,
Radar,1001,16298.9,1.15737,61799281,0,0,,,20.76492207,106.9228381,,,,,,
Radar,1001,16316.1,1.15658,61809283,0,0,,,20.76509016,106.9229396,,,,,,
Radar,1001,16333.2,1.15579,61819281,0,0,,,20.76525807,106.92304,,,,,,
Radar,1001,16301.9,1.16179,61829284,1,20,,,20.76433958,106.923141,,,,,,
Radar,1001,16307.3,1.16228,61839292,0,0,,,20.764293,106.9232191,,,,,,
Radar,1001,16313.1,1.16268,61849296,0,0,,,20.7642599,106.9232951,,,,,,
Radar,1001,16318.9,1.16308,61859293,0,0,,,20.76422676,106.9233711,,,,,,
Radar,1001,16324.8,1.16349,61869300,0,0,,,20.76419257,106.9234486,,,,,,
Radar,1002,11459.9,1.17158,61620933,1,17,,,20.74611457,106.8809003,,,,,,
Radar,1002,11457,1.1714,61629273,1,72,,,20.74612151,106.880867,,,,,,
Radar,1002,11457.1,1.17206,61639286,1,37,,,20.74605927,106.8808961,,,,,,
Radar,1002,11457,1.17227,61649272,0,0,,,20.746039,106.8809042,,,,,,
Radar,1002,11457.3,1.17188,61659271,1,17,,,20.74607704,106.8808902,,,,,,
Radar,1002,11457.5,1.17217,61669311,1,20,,,20.74605023,106.8809043,,,,,,
Radar,1002,11458.9,1.17215,61679272,1,17,,,20.74605701,106.8809159,,,,,,
Radar,1002,11459.7,1.17223,61689275,0,0,,,20.74605221,106.8809264,,,,,,
Radar,1002,11460,1.17254,61699290,1,40,,,20.74602384,106.8809422,,,,,,
Radar,1002,11460.5,1.17266,61709259,0,0,,,20.7460142,106.8809518,,,,,,
Radar,1002,11458.7,1.17178,61719273,1,17,,,20.74609141,106.8808983,,,,,,
Radar,1002,11458.2,1.17153,61729290,0,0,,,20.74611338,106.8808832,,,,,,
Radar,1002,11459.1,1.17173,61739296,1,17,,,20.74609755,106.8808997,,,,,,
Radar,1002,11458,1.17159,61749287,1,52,,,20.74610699,106.880884,,,,,,
Radar,1002,11457.4,1.17146,61759291,0,0,,,20.74611722,106.8808731,,,,,,
Radar,1002,11458.7,1.17257,61769294,1,17,,,20.74601647,106.880932,,,,,,
Radar,1002,11458.1,1.17238,61779292,1,20,,,20.7460324,106.8809186,,,,,,
Radar,1002,11459,1.17313,61789296,1,17,,,20.74596437,106.8809586,,,,,,
Radar,1002,11459.6,1.17361,61799311,1,17,,,20.7459209,106.8809843,,,,,,
Radar,1002,11458.9,1.17389,61809307,1,20,,,20.74589189,106.88099,,,,,,
Radar,1002,11458.3,1.17256,61819291,1,17,,,20.74601602,106.8809281,,,,,,
Radar,1002,11459,1.17263,61829306,1,32,,,20.74601182,106.8809372,,,,,,
Radar,1002,11459.2,1.17246,61839292,0,0,,,20.74602865,106.8809318,,,,,,
Radar,1002,11459.4,1.17227,61849307,0,0,,,20.74604737,106.8809254,,,,,,
Radar,1002,11459.5,1.17208,61859305,0,0,,,20.74606575,106.8809182,,,,,,
Radar,1002,11457.8,1.17297,61869309,1,17,,,20.74597538,106.8809411,,,,,,
Radar,1002,11457.5,1.17189,61879307,1,20,,,20.74607679,106.8808924,,,,,,
Radar,1002,11457.1,1.17167,61889327,0,0,,,20.74609626,106.8808794,,,,,,
Radar,1002,11458.7,1.17166,61899330,1,17,,,20.74610279,106.8808931,,,,,,
Radar,1002,11459.5,1.17145,61909318,1,12,,,20.7461255,106.8808912,,,,,,
Radar,1002,11459.9,1.17143,61919320,0,0,,,20.7461288,106.8808939,,,,,,
Radar,1002,11458.6,1.17094,61929332,1,22,,,20.74617072,106.8808614,,,,,,
Radar,1002,11458.5,1.17086,61939317,0,0,,,20.74617796,106.8808571,,,,,,
Radar,1002,11459.4,1.1725,61949310,1,20,,,20.74602555,106.8809352,,,,,,
Radar,1002,11459.6,1.17299,61959330,0,0,,,20.74597975,106.8809579,,,,,,
Radar,1002,11459.7,1.17339,61969330,0,0,,,20.74594213,106.8809758,,,,,,
Radar,1002,11459.8,1.17293,61979341,1,17,,,20.74598614,106.8809571,,,,,,
Radar,1002,11459.8,1.1726,61989331,1,15,,,20.74601745,106.880943,,,,,,
Radar,1002,11459.8,1.17243,61999338,0,0,,,20.74603358,106.8809358,,,,,,
Radar,1002,11459.9,1.17202,62009339,1,15,,,20.74607283,106.8809192,,,,,,
Radar,1002,11458.6,1.17201,62019350,1,20,,,20.74606925,106.8809072,,,,,,
Radar,1002,11459.1,1.17185,62029364,1,17,,,20.74608617,106.8809048,,,,,,
Radar,1002,11459.4,1.17181,62039345,1,17,,,20.74609101,106.8809058,,,,,,
Radar,1002,11457.5,1.17169,62049357,1,47,,,20.74609576,106.8808838,,,,,,
Radar,1002,11457.3,1.17134,62059349,1,20,,,20.74612825,106.8808671,,,,,,
Radar,1002,11458.3,1.17097,62069350,1,17,,,20.74616683,106.8808601,,,,,,
Radar,1002,11458,1.17024,62079357,1,17,,,20.74623498,106.8808261,,,,,,
